factoryCode;factoryName;adress;country
C0001;ARCELORMITTAL CHATELET-STAINLESS;Porte A1  Magasin Consommable AE  6200 CHATELET  Belgique;Belgique
C0002;ALUMETAL POLAND SP ZOO;UL ODLEWNIKOW 52  PL - 39432 GORZYCE  Pologne;Pologne
C0003;"PJSC ""NLMK""";PL .METALLURGOV 2  398040 LIPETSK  Russie;Russie
C0004;ZAO LIPETSK CEMENT;DISTRICT CEMZAVOD  398007 LIPETSK  Russie;Russie
C0005;OAO USINE KOSOGORSKIY;Station Yasnay Polyana  code station 213935, usine 3128  4 rue de Orlovskoye Chaussé  TULA, KOSSAYA GORA 300903  Russie;Russie
C0006;U.S. STEEL KOSICE S.R.O.;DP PUSH FURNACES  0183  SKLAD SPECIALNEHO MATERIALU  KOSICE 04454  Slovaquie;Slovaquie
C0007;US STEEL KOSICE S.R.O.;VSTUPNY AREAL US STEEL  DP BLAST FURNACE  0120-SKLAD ZIARUVSDOR. MATERIALU  KOSICE 04454  SVK;Slovaquie
C0008;US STEEL KOSICE;DP STEEL SHOP  0181 SKLAD MATERIALU KONVERTOROV  SK-04454 KOSICE  Slovaquie;Slovaquie
C0009;FAVI SA;14, RUE LOUIS DENEUX  80490 HALLENCOURT;France
C0010;APETRAM CHATELET;Porte A1  Magasin Consommable AE  6200 CHATELET  Belgique;Belgique
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
