batchNumber;reference;variant;nomenclature;quantity;deliveryDate;status;typeCode
1605;PFINIS0018064;KAST_53B50FS_FM;NOM0001617;1;19/04/2017;Terminé;T0001
3695;PFINIS0011177;KAST_55B50FS_FM;NOM0001614;1;11/10/2017;Consommation de matières;T0001
3693;PFINIS0011177;KAST_53B50FS_FM;NOM0000655;1;18/10/2017;Consommation de matières;T0001
2418;PFINIS0011177;KAST_53B50FS_FM;NOM0000655;1;19/07/2017;Terminé;T0001
1616;PFINIS0011177;KAST_55B50FS_FM;NOM0001614;1;03/05/2017;Terminé;T0001
1446;PFINIS0011177;KAST_53B50FS_FM;NOM0000655;1;05/04/2017;Terminé;T0001
179;PFINIS0011177;KAST_53B50FS_FM;NOM0000655;2;02/02/2017;Terminé;T0001
3124;PFINIS0017994;KAST_54B60AL;NOM0001551;1;29/08/2017;Terminé;T0003
3122;PFINIS0017994;KAST_54B60AL;NOM0001551;1;29/08/2017;Terminé;T0004
1492;PFINIS0017994;KAST_54B60AL;NOM0001551;1;26/04/2017;Terminé;T0005
4189;PFINIS0018012;RAM_11B03;NOM0001570;1;06/10/2017;Consommation de gamme;T0006
1518;PFINIS0018012;RAM_11B03;NOM0001570;1;27/04/2017;Terminé;T0006
828;PFINIS0016783;KAST_33B02FS_FMTE;NOM0001242;1;05/04/2017;Terminé;T0002
2565;PFINIS0011332;ECOFIB_HP;NOM0000758;12;05/10/2017;Consommation de matières;T0006
2350;PFINIS0011332;ECOFIB_HP;NOM0000758;12;12/07/2017;Terminé;T0006
122;PFINIS0011332;ECOFIB_HP;NOM0000758;12;09/01/2017;Terminé;T0006
